127.0.0.1 - - [22/Oct/2019:12:08:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:09 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:09 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:09 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:09 +0530] "GET /Ecommerce_Fd_ILT/resources/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:13 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:09:17 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:09 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:12 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:27 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3766
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:28 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:56 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:22:59 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:23:01 +0530] "GET /Ecommerce_Fd_ILT/register HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:23:01 +0530] "GET /Ecommerce_Fd_ILT/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:23:01 +0530] "GET /Ecommerce_Fd_ILT/.resources/css/registerpage.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:23:01 +0530] "GET /Ecommerce_Fd_ILT/.resources/css/registerpage.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:23:04 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:24:06 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:24:07 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:24:09 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:27:39 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:27:45 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:27:46 +0530] "GET /Ecommerce_Fd_ILT/ HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:28:12 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:29:20 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:35:32 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:35:47 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:35:58 +0530] "GET /Ecommerce_Fd_ILT/product HTTP/1.1" 200 5356
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:00 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:01 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:03 +0530] "GET /Ecommerce_Fd_ILT/register HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:03 +0530] "GET /Ecommerce_Fd_ILT/.resources/css/registerpage.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:05 +0530] "GET /Ecommerce_Fd_ILT/login HTTP/1.1" 200 3773
0:0:0:0:0:0:0:1 - - [22/Oct/2019:12:36:07 +0530] "GET /Ecommerce_Fd_ILT/category HTTP/1.1" 200 2815
